id,app,category,one_liner,primary_auth,auth_methods,access,access_detail,api_style,api_breadth,mcp,mcp_url,webhooks,verdict,blocker,blocker_detail,composio_slug,confidence,evidence_urls
31,Google Ads,Marketing & Ads,"Google's advertising platform; API manages campaigns, ad groups, assets, conversions, and reporting.",oauth2,oauth2|jwt_or_service_account|other,approval_required,"OAuth2 plus a developer token are required. Access levels (Test/Explorer/Basic/Standard) are granted to the Cloud project. Test access only works against test accounts. Basic access needs brand verification, and its application is now automated and reviewed within minutes. Standard also needs approval. The API is free; the pages I opened list no fees. OAuth consent screen verification for the sensitive adwords scope was not checked in the docs.",rest|sdk_or_cli_only,broad,official,https://github.com/googleads/google-ads-mcp,False,build_with_friction,partner_approval,"A developer token with Basic or Standard access is needed for production. It requires Cloud project brand verification, and Basic is reviewed automatically within minutes. Test accounts allow building without approval. Google may also require OAuth app verification for the sensitive scope. I did not confirm this on the pages I opened.",googleads,0.8,https://developers.google.com/google-ads/api/docs/oauth/overview|https://developers.google.com/google-ads/api/docs/api-policy/developer-token|https://developers.google.com/google-ads/api/docs/api-policy/developer-token|https://developers.google.com/google-ads/api/rest/overview|https://developers.google.com/google-ads/api/docs/developer-toolkit/mcp-server
32,Meta Ads,Marketing & Ads,"Meta Marketing API to create, manage and report on Facebook/Instagram ad campaigns.",oauth2,oauth2,approval_required,"Free self-serve developer account and app. Standard access to ads_read/ads_management works for your own ad account only. Managing other users' ad accounts (multi-tenant) needs Advanced access through App Review, plus business verification. I did not verify the exact App Review timelines.",rest,broad,official,https://mcp.facebook.com/ads,,build_with_friction,app_review,Advanced access for ads_read/ads_management needs Meta App Review and business verification before the app can act for other users' ad accounts. Development against your own ad account works without it. Webhook support for ads was not checked. A sandbox was not verified either; the free dev account is inferred from the docs.,metaads,0.85,https://developers.facebook.com/docs/marketing-api/overview/authorization|https://developers.facebook.com/docs/marketing-api/overview/authorization|https://developers.facebook.com/docs/marketing-api/overview/authorization|https://developers.facebook.com/docs/marketing-api/get-started|https://developers.facebook.com/documentation/ads-commerce/ads-ai-connectors/ads-mcp-server/ads-mcp-server-overview
33,LinkedIn Ads,Marketing & Ads,"LinkedIn Marketing/Advertising API for managing ad accounts, campaigns, creatives, reporting, audiences and lead gen.",oauth2,oauth2,approval_required,"Self-serve developer app, but Advertising API product needs LinkedIn application approval (Development tier). Dev tier allows unlimited reads and edits on up to 5 ad accounts. Standard tier (unlimited edits, needed for multi-tenant production) requires a support ticket and is at LinkedIn's discretion. No fee found for API access; approval timelines were not stated.",rest,broad,community,https://github.com/radiateb2b/mcp-linkedin-ads,,build_with_friction,app_review,"Advertising API access requires LinkedIn app approval. Standard tier, needed to edit more than 5 ad accounts, requires a support ticket and is discretionary. Only 3-legged OAuth works for marketing use, with no client-credentials flow. Webhook support for Ads was not verified; only Community Management webhooks were mentioned. The sandbox rating rests on the Development tier plus one test ad account creatable via the API, not on a documented sandbox page.",linkedin_ads,0.82,https://learn.microsoft.com/en-us/linkedin/marketing/getting-started|https://learn.microsoft.com/en-us/linkedin/shared/authentication/authentication|https://learn.microsoft.com/en-us/linkedin/marketing/increasing-access|https://learn.microsoft.com/en-us/linkedin/marketing/increasing-access|https://learn.microsoft.com/en-us/linkedin/marketing/increasing-access|https://learn.microsoft.com/en-us/linkedin/marketing/getting-started|https://www.google.com/search?q=LinkedIn+Ads+MCP+server
34,GoHighLevel,Marketing & Ads,"All-in-one CRM, marketing automation, funnels and messaging platform for agencies (HighLevel/LeadConnector).",oauth2,oauth2|bearer_token,self_serve_trial,"Marketplace developer account and Private apps allow OAuth app creation for testing; installing into a real account needs a HighLevel account. Pricing page shows a 14-day free trial, paid plans from $97/mo; API/Private Integration tokens tied to a paid account (trial or plan). Public marketplace apps need HighLevel review. I did not confirm whether a permanent free developer sandbox exists.",rest,broad,official,https://services.leadconnectorhq.com/mcp/anthropic/v2,True,build_with_friction,paid_plan,"Testing needs a HighLevel account: 14-day trial, then a paid plan ($97+/mo; Unlimited $297 includes basic API access, Agency Pro advanced API). Public listing needs app review. Webhooks were not verified on the docs pages I opened (based on general knowledge).",,0.6,https://marketplace.gohighlevel.com/docs/Authorization/OAuth2.0|https://marketplace.gohighlevel.com/docs/oauth/GettingStarted|https://www.gohighlevel.com/pricing|https://www.gohighlevel.com/pricing|https://marketplace.gohighlevel.com/docs/other/mcp
35,Mailchimp,Marketing & Ads,"Email marketing platform with audiences, campaigns, automations, reports and e-commerce via the Marketing API v3.",oauth2,oauth2|api_key,self_serve_free,A free plan (under 250 contacts) exists. API keys and OAuth app registration (Registered Apps page) are self-serve with no approval. The pricing page does not explicitly confirm API access on the free tier; it is inferred from general knowledge and the self-serve app registration.,rest,broad,community,https://github.com/damientilman/mailchimp-mcp-server,True,build_now,none,"No blocking gate found. Minor caveats: free-tier API access is not explicitly stated on the pricing page, and OAuth tokens are tied to a data-center suffix (dc) that must be looked up via the metadata endpoint. The only official MCP covers Transactional, not Marketing.",mailchimp,0.85,https://mailchimp.com/developer/marketing/guides/access-user-data-oauth-2/|https://mailchimp.com/developer/marketing/guides/access-user-data-oauth-2/|https://mailchimp.com/pricing/marketing/|https://mailchimp.com/developer/marketing/api/
36,Klaviyo,Marketing & Ads,Email/SMS marketing automation and customer data platform for ecommerce brands.,oauth2,oauth2|api_key,self_serve_free,"A free plan exists (up to 250 active profiles, 500 monthly sends) and private API keys can be created by Owner/Admin/Manager roles. Pricing page did not explicitly confirm API on free tier. OAuth for third-party apps is described as required for App Marketplace listing, so a public OAuth app may need Klaviyo partner/marketplace registration (not verified).",rest,broad,official,https://developers.klaviyo.com/en/docs/klaviyo_mcp_server,True,build_now,none,No hard blocker found. Minor uncertainty: OAuth for third-party apps may require partner/marketplace registration; private API keys work immediately. Webhook availability not verified (webhook docs page returned 404).,klaviyo,0.7,https://developers.klaviyo.com/en/docs/authenticate_|https://developers.klaviyo.com/en/docs/authenticate_|https://www.klaviyo.com/pricing|https://developers.klaviyo.com/en/reference/api_overview|https://developers.klaviyo.com/en/docs/klaviyo_mcp_server
37,systeme.io,Marketing & Ads,"All-in-one marketing platform: funnels, email, courses, payments, blogs, affiliate programs.",api_key,api_key,self_serve_free,"Free plan (no card, never expires) lets users generate up to 3 public API keys under profile settings. The docs and pricing page do not state which plans include API access, only that API requests per minute differ by plan. I found no evidence that the free plan blocks the API, but I did not confirm it either.",rest,broad,official,https://developer.systeme.io/docs/mcp-server,True,build_now,none,"No OAuth for third-party apps, so each user must paste a per-account API key. Per-plan rate limits apply, and API access by plan is unconfirmed.",,0.72,https://developer.systeme.io/reference/api|https://systeme.io/pricing|https://developer.systeme.io/llms.txt|https://help.systeme.io/article/9489-how-to-use-systeme-ios-mcp|https://help.systeme.io/article/2323-how-to-use-systeme-io-public-api
38,Pinterest,Marketing & Ads,"Visual discovery platform; API v5 for pins, boards, ads, audiences, catalogs and analytics.",oauth2,oauth2|bearer_token,approval_required,"Self-serve app registration, but an app request must first be reviewed and approved for Trial access. Trial is sandbox-only, with content visible only to its creator and daily per-app rate limits. Production use needs an upgrade to Standard access, which requires a video demo of the OAuth flow and a review by Pinterest.",rest,moderate,community,https://github.com/terryso/mcp-pinterest,,build_with_friction,app_review,"Trial access requires app approval, and Trial content is sandbox-only. Real multi-user production use needs the Standard upgrade review, which includes a video demo of the OAuth flow. Search results also mention a Pinterest open-source MCP server for approved advertiser partners. I did not open that page, so I could not confirm it is official.",pinterest,0.8,https://developers.pinterest.com/docs/getting-started/set-up-authentication-and-authorization/|https://developers.pinterest.com/docs/getting-started/connect-app/|https://developers.pinterest.com/docs/key-concepts/access-tiers/|https://developers.pinterest.com/docs/key-concepts/access-tiers/|https://developers.pinterest.com/docs/getting-started/connect-app/
39,Threads (Meta),Marketing & Ads,"Meta's Threads API for publishing posts, managing replies, reading media and insights.",oauth2,oauth2,approval_required,"Self-serve Meta app via the Threads use case, free. Dev-mode testers (invited via App Dashboard) work without review. Serving public users needs Meta app review for threads_* permissions; that page was not opened, so this is from general Meta practice.",rest,moderate,community,https://github.com/pete-builds/mcp-threads,True,build_with_friction,app_review,Meta app review is needed to use threads_* permissions with users outside app roles and testers. Long-lived tokens last 60 days and must be refreshed. Media must be at a public URL.,,0.72,https://developers.facebook.com/docs/threads/get-started|https://developers.facebook.com/docs/threads/get-started|https://developers.facebook.com/docs/threads/reference|https://developers.facebook.com/docs/threads|https://github.com/pete-builds/mcp-threads
40,SendGrid,Marketing & Ads,Twilio's cloud email delivery platform: transactional email API/SMTP plus marketing campaigns.,api_key,api_key|bearer_token,self_serve_trial,"Free trial gives 100 emails/day for 60 days, no credit card required. There is no permanent free tier after the trial; a paid plan (Essentials from $19.95/mo) is needed to continue. API keys are created in the console after signup with no human approval. Sender identity verification is required before sending.",rest,broad,community,https://github.com/Garoth/sendgrid-mcp,True,build_with_friction,paid_plan,"Testing works only during the 60-day trial (100 emails/day); ongoing use needs a paid plan. Per-user API keys only, with no OAuth for third-party apps. Twilio's official twilio-labs/mcp does not cover the SendGrid v3 API.",sendgrid,0.85,https://www.twilio.com/docs/sendgrid/for-developers/sending-email/authentication|https://www.twilio.com/docs/sendgrid/for-developers/sending-email/authentication|https://www.twilio.com/en-us/products/email-api/pricing|https://www.twilio.com/en-us/sendgrid|https://www.twilio.com/docs/sendgrid/api-reference|https://www.twilio.com/docs/sendgrid/for-developers/tracking-events/getting-started-event-webhook|https://www.twilio.com/en-us/blog/developers/community/build-a-sendgrid-mcp-server-for-ai-email-workflows
41,Shopify,Ecommerce,"Ecommerce platform with GraphQL Admin API for products, orders, customers, and app extensions.",oauth2,oauth2|bearer_token,approval_required,Developers can create apps in the Dev Dashboard and test on development stores. I did not confirm from the docs that dev stores are free; this is from prior knowledge. Installing a public multi-store app on merchant stores requires Shopify app approval. Custom apps for a single store or a Plus org need no approval. Protected customer data access also needs approval.,graphql|rest,broad,official,https://shopify.dev/docs/apps/build/devmcp,True,build_with_friction,app_review,"A public app that installs on many merchants' stores needs Shopify approval. The official Dev MCP covers docs and schema only, not store operations. I found no store-operations MCP in the docs I opened. I did not search for community MCP servers.",shopify,0.7,https://shopify.dev/docs/apps/build/authentication-authorization|https://shopify.dev/docs/apps/build/authentication-authorization|https://shopify.dev/docs/apps/launch/distribution|https://shopify.dev/docs/apps/launch/distribution|https://shopify.dev/docs/api/admin-graphql|https://shopify.dev/docs/apps/build/webhooks|https://shopify.dev/docs/apps/build/devmcp
42,WooCommerce,Ecommerce,"Open-source WordPress ecommerce plugin with a REST API for products, orders, customers, coupons.",api_key,basic|api_key|oauth2,self_serve_free,"WooCommerce is a free, self-hosted plugin. A developer can run a local or hosted WordPress+WooCommerce store at $0 and generate a Consumer Key/Secret in WooCommerce > Settings > Advanced > REST API. No vendor approval was found. Pricing page was not opened; the free-plugin claim is from general knowledge. Each merchant store has its own base URL and keys, so a multi-tenant toolkit must collect store URL plus key/secret per user. The /wc-auth/v1/authorize endpoint (key auto-generation flow) was only inferred from the docs line about auto-generated keys, not opened.",rest,broad,official,https://developer.woocommerce.com/docs/features/mcp/,True,build_now,none,"No hard blocker. Friction: the API is per-store and self-hosted, so each user supplies a store URL plus consumer key/secret (no central OAuth2 app). HTTP stores need OAuth 1.0a; HTTPS is recommended. The native MCP feature is in developer preview and uses WordPress Application Passwords.",,0.8,https://woocommerce.github.io/woocommerce-rest-api-docs/|https://woocommerce.com/document/woocommerce-rest-api/|https://developer.woocommerce.com/docs/apis/rest-api/|https://developer.woocommerce.com/docs/features/mcp/|https://developer.woocommerce.com/docs/features/mcp/
43,BigCommerce,Ecommerce,"SaaS ecommerce platform with REST and GraphQL APIs for catalog, orders, customers, and storefronts.",oauth2,oauth2|bearer_token,self_serve_free,"Developers can create apps in the Developer Portal (client ID/secret, OAuth install flow) and get a free sandbox store through the Partner Portal. Store owners can also generate store-level API tokens (X-Auth-Token). The sandbox duration, the exact partner sign-up approval, and any plan restrictions are not stated in the pages I opened. Marketplace listing requires review, but that is not needed to build or test.",rest|graphql,broad,official,https://docs.bigcommerce.com/developer/api-reference/mcp/overview,True,build_now,none,"No hard blocker found. Sandbox access goes through the Partner Portal, so partner sign-up is an unverified small friction point.",,0.65,https://docs.bigcommerce.com/docs/start/authentication|https://docs.bigcommerce.com/docs/start/authentication|https://docs.bigcommerce.com/docs/start/about/sandboxes|https://docs.bigcommerce.com/docs/start/about/sandboxes|https://docs.bigcommerce.com/docs/start/authentication|https://docs.bigcommerce.com/developer/api-reference/mcp/overview
44,Salesforce Commerce Cloud,Ecommerce,"Enterprise B2C ecommerce platform with SCAPI/OCAPI APIs for catalog, baskets, orders, customers and promotions.",oauth2,oauth2|jwt_or_service_account,partner_or_sales_gated,"Not verified from official pages: developer.salesforce.com returned HTTP 403 to my fetches, so the auth, pricing and API reference pages could not be opened. Search snippets and background knowledge say credentials come from an Account Manager API client on a customer or partner B2C realm. Sandboxes are allocated to a paid customer or partner realm. I found no free self-serve signup. Shopper APIs use SLAS with a per-tenant short-code, tenant-id and slas-client-id.",rest,broad,official,https://salesforcecommercecloud.github.io/b2c-developer-tooling/mcp/,,blocked,partner_approval,"A working toolkit needs a B2C Commerce realm or sandbox from a Salesforce contract or partner program. This is inferred, not confirmed from official pages, because the docs returned 403. Salesforce also ships an official MCP server (the B2C Developer Toolkit) that overlaps with a Composio toolkit.",,0.55,https://salesforcecommercecloud.github.io/b2c-developer-tooling/guide/configuration.html|https://salesforcecommercecloud.github.io/b2c-developer-tooling/guide/configuration.html|https://salesforcecommercecloud.github.io/b2c-developer-tooling/mcp/
45,Magento (Adobe Commerce),Ecommerce,"Open-source and commercial ecommerce platform with REST/GraphQL APIs for catalog, orders, customers and admin.",bearer_token,bearer_token|other|oauth2,self_serve_free,"The API ships with every install. Each merchant hosts its own instance (Open Source is free to self-host; Adobe Commerce is licensed or cloud). Credentials come from the store admin, either an admin or customer token or an OAuth 1.0a integration key set. There is no central developer signup. Adobe Commerce as a Cloud Service uses Adobe IMS tokens, which I did not open in detail. I did not verify pricing pages, and the free Open Source claim comes from general knowledge.",rest|graphql,broad,community,https://github.com/thomastx05/magento-mcp,True,build_with_friction,self_host_or_local_only,"There is no hosted multi-tenant developer sandbox. Testing needs a self-installed Open Source instance or a customer's own store, and each user supplies their own base URL and token. The main auth methods are per-store tokens or OAuth 1.0a, not OAuth2 for third-party apps. Webhooks are asserted from general knowledge (Adobe Commerce webhooks and events modules) and were not verified.",,0.55,https://developer.adobe.com/commerce/webapi/get-started/authentication/|https://developer.adobe.com/commerce/webapi/get-started/authentication/|https://developer.adobe.com/commerce/webapi/get-started/authentication/|https://developer.adobe.com/commerce/webapi/rest/|https://github.com/thomastx05/magento-mcp
46,Squarespace,Ecommerce,"Website and ecommerce platform with REST Commerce APIs for orders, products, inventory, profiles and webhooks.",oauth2,oauth2|api_key,approval_required,OAuth for multi-tenant apps requires registering as an OAuth client; Squarespace reviews it and replies with client_id/secret. Per-merchant API keys are self-generated but need a Commerce Advanced plan. Neither is free without a paid site. A sandbox or free dev account was not found.,rest,moderate,official,https://developers-preview.squarespace.com/mcp/overview,True,build_with_friction,app_review,"OAuth client registration must be reviewed by Squarespace. The API-key fallback needs a merchant on the Commerce Advanced plan. The official MCP server only covers domain search (2 read-only tools), not commerce. The Webhook Subscriptions API is OAuth-only. The exact review turnaround and the paid-plan need for testing OAuth were not confirmed.",,0.7,https://developers.squarespace.com/commerce-apis/authentication-and-permissions|https://developers.squarespace.com/oauth|https://developers.squarespace.com/commerce-apis/overview|https://developers-preview.squarespace.com/mcp/overview
47,Ecwid,Ecommerce,"Ecwid by Lightspeed: hosted ecommerce storefront platform with REST API for products, orders, customers.",oauth2,oauth2|bearer_token,paid_plan_required,"Docs say only stores on paid plans can access the API. Ecwid gives a free paid-plan upgrade for test stores, but you must email them to request it. Private (custom) apps get access tokens for a single store. Public apps use OAuth2 and are listed on the App Market. I did not find a public-app review process on the pages I opened.",rest,broad,community,https://vinkius.com/apps/ecwid-mcp,True,build_with_friction,paid_plan,"API needs a paid-plan store. A free test-store upgrade is available by emailing Ecwid, which is a manual step. Public OAuth apps for multi-tenant use go through the App Market. I did not verify the review requirements. Private apps cannot be installed in other stores.",,0.65,https://docs.ecwid.com/api-reference/rest-api/rest-api-overview.md|https://docs.ecwid.com/get-started/set-up-your-dev-environment-in-ecwid.md|https://docs.ecwid.com/get-started/set-up-your-dev-environment-in-ecwid.md|https://docs.ecwid.com/api-reference/rest-api/rest-api-overview.md|https://docs.ecwid.com/develop-apps/private-and-public-ecwid-apps.md
48,Gumroad,Ecommerce,"Platform for creators to sell digital products, memberships and courses directly to customers.",oauth2,oauth2|bearer_token,self_serve_free,"Any Gumroad account can create an application in Settings > Advanced to get client_id/secret and generate an access token. No paid plan is documented (Gumroad charges only a per-sale fee). I could not render the official gumroad.com/api page (empty on fetch), so this rests on search snippets, third-party docs and the MCP README. I saw no evidence of app review for OAuth apps.",rest,moderate,community,https://github.com/rmarescu/gumroad-mcp,True,build_now,none,"No blocker found. The official docs page did not render in my fetch, so details come from secondary sources. Gumroad has no separate sandbox, but a free seller account with test products works.",gumroad,0.72,https://mintlify.wiki/antiwork/gumroad/development/authentication|https://mintlify.wiki/antiwork/gumroad/development/authentication|https://github.com/rmarescu/gumroad-mcp|https://mintlify.wiki/antiwork/gumroad/development/authentication
49,Amazon Selling Partner,Ecommerce,"Amazon's API for sellers and vendors to manage orders, listings, inventory, reports and fulfillment.",oauth2,oauth2,approval_required,"Registering as an SP-API developer needs a primary account user and, for private seller apps, a professional seller account. Public apps must be listed in the Selling Partner Appstore, which involves Amazon review and developer profile approval. Roles are requested and approved by Amazon. Fees are not stated on the pages I opened. I did not open the sandbox page, so sandbox availability and free-tier details are unverified.",rest,broad,official,https://www.npmjs.com/package/@amazon-sp-api-release/sp-api-dev-mcp,True,build_with_friction,app_review,"Developer registration and role approval are required. Production multi-tenant use needs a public app listed in the Selling Partner Appstore, which Amazon reviews. It also needs a professional seller account to test.",,0.8,https://developer-docs.amazon/sp-api/docs/authorizing-selling-partner-api-applications|https://developer-docs.amazon/sp-api/docs/authorizing-selling-partner-api-applications|https://developer-docs.amazon/sp-api/docs/registering-as-a-developer|https://developer-docs.amazon/sp-api/docs/registering-as-a-developer|https://developer-docs.amazon/sp-api/docs/sp-api-endpoints
50,fanbasis,Ecommerce,"Creator/enterprise payments platform: checkout, subscriptions, customers, products, refunds, disputes, webhooks.",api_key,api_key,self_serve_free,"Docs say every request needs an x-api-key header, with scoped keys and a separate sandbox key and base URL. Docs don't say where keys are created or whether a plan or approval is needed. Free access is inferred, not confirmed. A newer docs portal (dev-docs.fanbasis.com, v3) sits behind a password login.",rest,moderate,community,https://zapier.com/mcp/fanbasis,True,build_with_friction,unclear_docs,"The API-key signup path and any plan or approval requirement are not documented in the pages I could open. The v3 docs portal is password-gated. The public docs are a repo (otniel-bit/fbnewapi) that appears to be a mirror or fork, and the site it deploys is titled ""Commas API Reference"".",,0.5,https://github.com/otniel-bit/fbnewapi|https://raw.githubusercontent.com/otniel-bit/fbnewapi/main/api-docs.md|https://github.com/otniel-bit/fbnewapi|https://dev-docs.fanbasis.com/
51,DataForSEO,Data SEO & Scraping,"Pay-as-you-go SEO data APIs: SERP, keywords, backlinks, on-page, labs, and more.",basic,basic,self_serve_free,"Any registered user gets API login/password and free unlimited Sandbox access (sandbox.dataforseo.com, no charge). Live production calls need funded balance (pricing page: $50 minimum payment). The docs mention a free trial, but its terms were not opened.",rest,broad,official,https://github.com/dataforseo/mcp-server-typescript,,build_now,none,Only Basic auth with per-account API credentials for the API itself. The sandbox is free for building and testing. Production data needs prepaid credits ($50 minimum). Webhook/pingback support was not verified.,dataforseo,0.8,https://docs.dataforseo.com/v3/auth/|https://docs.dataforseo.com/v3/appendix/sandbox/|https://dataforseo.com/pricing|https://docs.dataforseo.com/v3/|https://github.com/dataforseo/mcp-server-typescript
52,SE Ranking,Data SEO & Scraping,"SEO platform with rank tracking, keyword, backlink, site audit and AI-search visibility data via API.",api_key,api_key|oauth2,self_serve_trial,"API key comes from account Settings > API. The API is bundled with paid subscriptions (from about $129/mo), or the API Add-On (from $149/mo), or pay-as-you-go (about $50 minimum). It can be tested in a no-card free trial. I did not verify the trial's API credit limits or duration. OAuth 2.1 appears only on the MCP server.",rest,broad,official,https://api.seranking.com/mcp,,build_with_friction,paid_plan,"No permanent free tier. API needs a paid plan, an add-on, or pay-as-you-go credits. Testing is limited to a free trial. Webhooks were not checked. An official hosted MCP already exists, which reduces the value of a new toolkit.",,0.6,https://seranking.com/api/integrations/mcp/|https://seranking.com/api/|https://seranking.com/api/|https://seranking.com/api/|https://seranking.com/api/data/|https://seranking.com/api/integrations/mcp/
53,Ahrefs,Data SEO & Scraping,"SEO platform for backlinks, keywords, rank tracking and site audits, exposed via REST API v3 and MCP.",bearer_token,bearer_token|api_key|oauth2,paid_plan_required,"API v3 requires a paid Ahrefs subscription (Lite or higher per the Help Center; older/third-party sources say Enterprise only). Workspace owners and admins create API keys used as bearer tokens. Free test queries exist for some endpoints without an Enterprise plan, but they don't give general access. A generic OAuth2 flow for third-party apps is not confirmed; the docs mention OAuth 2.0 only under the ""Ahrefs Connect"" partner integration program. Plan/unit numbers conflict between sources (Help Center: Lite 200k units/month; other sources: 100k). The MCP server is a hosted remote server for Lite and higher.",rest,moderate,official,https://docs.ahrefs.com/docs/mcp/introduction,,build_with_friction,paid_plan,"A paid Ahrefs plan (Lite or higher, possibly Enterprise for some features) is needed for real API use. There is no free tier; only limited free test queries. Multi-tenant use means each end user brings their own API key, since third-party OAuth is unconfirmed. I could not open the docs.ahrefs.com auth page or the pricing page directly (404s), so the details come from the docs landing page, the Help Center and search results.",ahrefs,0.6,https://docs.ahrefs.com/|https://help.ahrefs.com/en/articles/6559232-about-api-v3-for-enterprise-plan|https://github.com/ahrefs/ahrefs-mcp-server
54,MrScraper,Data SEO & Scraping,"AI-powered web scraping platform with unblocker, scraper agents, proxies and REST APIs.",api_key,api_key,self_serve_free,"Free plan at $0/month with 1,000 tokens monthly, no credit card. API token copied from dashboard account settings (API Token page). Pro is $199/month for 200k tokens; extra usage $1 per 1,000 tokens.",rest,moderate,official,https://mcp.mrscraper.com/mcp,,build_now,none,"No blocker found. Free tier is token-limited (1,000/month). Webhook support was not verified; the docs list a Webhook integration, but it is likely outbound delivery of scrape results and I did not open it. The hosted MCP is described by search results as official, but the only repo I opened (a Claude plugin) is marked as unofficial marketplace testing. It reportedly uses OAuth for the MCP, but the API itself uses a per-account token.",mrscraper,0.8,https://docs.mrscraper.com/docs/api/overview|https://mrscraper.com/pricing|https://mrscraper.com/pricing|https://docs.mrscraper.com/docs/api/overview|https://github.com/pray-mrscraper/mrscraper-claude-plugin
55,Apify,Data SEO & Scraping,"Cloud platform for web scraping and automation via prebuilt and custom Actors, with datasets and storage.",bearer_token,bearer_token|oauth2|other,self_serve_free,"Free plan with no credit card and $5 monthly prepaid usage. The pricing page doesn't explicitly say the free plan includes API access, but the API token is available in every account's Console (Integrations page). Paid Actors or higher usage need paid plans or credits.",rest,broad,official,https://mcp.apify.com,True,build_now,none,"No blocker for building. Apify's OAuth appeared in docs for the hosted MCP server, and I could not confirm a general OAuth2 flow for third-party apps (the OAuth doc URL I tried returned 404). Per-user API tokens are the confirmed method for a multi-tenant toolkit.",apify,0.8,https://docs.apify.com/api/v2|https://apify.com/pricing|https://docs.apify.com/api/v2|https://docs.apify.com/platform/integrations/mcp
56,Firecrawl,Data SEO & Scraping,"Web data API for AI agents: search, scrape, crawl, map, and extract clean markdown/JSON.",api_key,api_key|bearer_token,self_serve_free,"Free plan with 1,000 credits/month, no credit card, API included (2 concurrent requests, low rate limits). Keyless access also documented for initial testing. Keys are created in the dashboard.",rest,moderate,official,https://mcp.firecrawl.dev/v2/mcp,,build_now,none,"None. Free tier is enough to build and test. Webhook support was not verified on the pages opened (crawl/batch webhooks likely exist, but I did not confirm). The docs describe an OAuth sign-in for the MCP server only. I found no documented OAuth for third-party apps on the REST API, so primary auth is api_key.",firecrawl,0.85,https://docs.firecrawl.dev/introduction|https://www.firecrawl.dev/pricing|https://docs.firecrawl.dev/api-reference/introduction|https://docs.firecrawl.dev/mcp-server
57,Bright Data,Data SEO & Scraping,"Web data platform: proxies, Web Unlocker, SERP API, scrapers, and scraping browser.",bearer_token,api_key|bearer_token|basic,self_serve_free,"Account signup gives an API key from account settings. The official MCP offers 5,000 free requests per month with no credit card. The main API products (proxies, Web Unlocker, SERP) are pay-as-you-go. I could not confirm from the pricing page whether a free trial credit or minimum deposit applies to the REST APIs, so the free path for direct API testing is unverified.",rest,moderate,official,https://github.com/brightdata/brightdata-mcp,,build_now,none,"No approval or partnership is needed. Heavy usage of the REST APIs costs money, and I did not verify a free credit for them. No OAuth is offered, so it is per-user API key. Webhook support was not confirmed.",brightdata,0.6,https://docs.brightdata.com/api-reference/authentication|https://docs.brightdata.com/api-reference/authentication|https://github.com/brightdata/brightdata-mcp|https://docs.brightdata.com/api-reference/introduction
58,Sherlock,Data SEO & Scraping,Open-source CLI that checks a username across 400+ social networks.,none,none,self_serve_free,"Sherlock is a local MIT-licensed CLI (pipx/docker/dnf). There is no vendor-hosted API or service and no credentials. Only wrappers exist, such as third-party Apify actors, which are not the vendor's. Pricing and API-reference pages do not exist. Could not confirm this from a full docs sweep; only the GitHub README and the homepage were opened.",sdk_or_cli_only,none,community,https://github.com/Burnsedia/sherlock-mcp,False,build_now,self_host_or_local_only,"It is a local CLI with no hosted API. A Composio toolkit would need to run the tool itself, or wrap third-party Apify actors, which would bring their own auth and paid usage.",,0.85,https://github.com/sherlock-project/sherlock|https://github.com/sherlock-project/sherlock|https://github.com/sherlock-project/sherlock|https://github.com/Burnsedia/sherlock-mcp
59,Waterfall.io,Data SEO & Scraping,"B2B waterfall data enrichment: contact/company enrichment, prospecting, email verification, job-change detection across 30+ sources.",api_key,api_key,partner_or_sales_gated,Pricing page has no public tiers or self-serve signup; custom quotes after a free benchmark on your data. Docs don't say how to get a first key. Not verified whether a self-serve signup exists.,rest,moderate,none_found,,True,build_with_friction,partner_approval,"No public pricing or self-serve signup found. Credits come via a sales-led commitment or benchmark. The docs are public and complete, so the toolkit can be written, but testing needs a key from sales. No sandbox is documented.",,0.5,https://docs.waterfall.io/v1/introduction|https://www.waterfall.io/pricing|https://www.waterfall.io/pricing|https://docs.waterfall.io/v1/introduction
60,Clay,Data SEO & Scraping,"GTM data enrichment and workflow platform aggregating 150+ data providers, AI research agents, and tables.",api_key,api_key,self_serve_free,"Self-serve API keys (Settings > Account > API keys, beta, or `clay api-keys create`). Clay docs say the developer platform is available on all plans including free and trial. The Free plan (no card) includes 100 data credits/mo and 500 actions/mo, so a developer can get working credentials at $0 with low limits. Some endpoints are gated (Tables marked Enterprise, Workflows alpha).",rest,narrow,official,https://www.clay.com/guides/clay-mcp,True,build_now,none,"No approval or paid plan is needed to get a key. Per-account API keys only (no OAuth for third-party apps found). The API is beta, and Free plan credits are small (100 data credits/mo). Tables endpoint needs Enterprise. Rate limits were not verified.",clay,0.72,https://developers.clay.com/quickstart|https://university.clay.com/docs/clay-api-cli|https://www.clay.com/pricing|https://developers.clay.com/llms.txt|https://www.clay.com/guides/clay-mcp
